time_idx,date,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity
0,2024-06-03,114.9477539,438392000,5/22/24 16:22,11,6,0,2,2024,0,0,0.035255711,0.048954178,3056.553648,NVDA,0.69502306,2,0,0
1,2024-06-04,116.3841019,403324000,5/22/24 16:22,12,6,1,2,2024,0,0,0.035228922,0.012495659,3094.747301,NVDA,0.803471446,1,0,0
2,2024-06-05,122.3843765,528402000,5/22/24 16:22,13,6,2,2,2024,0,0,0.036080017,0.051555793,3254.299452,NVDA,1,1,0,0
3,2024-06-06,120.9430389,664696000,5/22/24 16:22,14,6,3,2,2024,0,0,0.036573824,-0.011777137,3215.973121,NVDA,0.920867741,1,0,0
4,2024-06-10,121.7346725,313434100,5/22/24 16:22,18,6,0,2,2024,0,0,0.035486261,0.007461437,3237.023298,NVDA,-1,1,0,0
5,2024-06-12,125.1534042,299595000,5/22/24 16:22,20,6,2,2,2024,0,0,0.035712719,0.035480831,3327.930136,NVDA,0.891063392,1,0,0
6,2024-06-14,131.8309174,309320400,5/22/24 16:22,22,6,4,2,2024,0,0,0.029332454,0.017514038,3505.490605,NVDA,0.917541405,6,1,1.669402338
7,2024-06-17,130.9312592,288504400,5/22/24 16:22,25,6,0,2,2024,0,0,0.025361589,-0.006824334,3481.567967,NVDA,0.95801423,3,0,0
8,2024-06-18,135.529541,294335100,5/22/24 16:22,26,6,1,2,2024,0,0,0.026193372,0.035119817,3603.839996,NVDA,1,1,0,0
9,2024-06-20,130.7313232,517768400,5/22/24 16:22,28,6,3,2,2024,0,0,0.025866601,-0.035403483,3476.251509,NVDA,0.838165522,4,0,0
10,2024-06-21,126.5228882,649445800,5/22/24 16:22,29,6,4,2,2024,0,0,0.028059355,-0.032191482,3364.345821,NVDA,0.637511671,1,0,0
11,2024-06-24,118.0660324,476060900,5/22/24 16:22,32,6,0,2,2024,0,0,0.032607958,-0.066840521,3139.471193,NVDA,0.892577797,2,0,0
12,2024-06-26,126.352951,362975900,5/22/24 16:22,34,6,2,2,2024,0,0,0.034583346,0.002458549,3359.827055,NVDA,0.851655781,2,0,0
13,2024-06-27,123.9438477,252571700,5/22/24 16:22,35,6,3,2,2024,0,0,0.03487396,-0.019066459,3295.767049,NVDA,0.455606133,1,0,0
14,2024-07-01,124.2537384,284885500,5/22/24 16:22,39,7,0,3,2024,0,1,0.03488723,0.006151876,3304.007295,NVDA,0.88493073,1,0,0
15,2024-07-05,125.7831726,214176700,5/22/24 16:22,43,7,4,3,2024,0,0,0.034999288,-0.019098794,3344.676186,NVDA,-0.063694447,2,0,0
16,2024-07-08,128.1522827,237677300,5/22/24 16:22,46,7,0,3,2024,0,0,0.03505635,0.018834873,3407.672738,NVDA,0.867559135,1,0,0
17,2024-07-09,131.3311157,285366600,5/22/24 16:22,47,7,1,3,2024,0,0,0.035696731,0.024805122,3492.200476,NVDA,0.81293416,1,0,0
18,2024-07-10,134.8598022,248978600,5/22/24 16:22,48,7,2,3,2024,0,0,0.035150601,0.026868625,3586.031101,NVDA,0.435732335,4,0,0
19,2024-07-11,127.3525848,374782700,5/22/24 16:22,49,7,3,3,2024,0,0,0.037093744,-0.055666828,3386.408125,NVDA,0.638062984,2,0,0
20,2024-07-12,129.1918945,252680500,5/22/24 16:22,50,7,4,3,2024,0,0,0.036182001,0.014442657,3435.316856,NVDA,1,1,0,0
21,2024-07-16,126.312973,214769500,5/22/24 16:22,54,7,1,3,2024,0,0,0.025337468,-0.016194315,3358.764007,NVDA,0.86217159,1,0,0
22,2024-07-17,117.9460831,390086200,5/22/24 16:22,55,7,2,3,2024,0,0,0.030949729,-0.066239356,3136.281643,NVDA,-0.047860563,2,0,0
