time_idx,date,close,volume,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity,volume_log1p,volume_norm
0,2024-06-04,174.7700043,60056300,41,6,1,2,2024,0,0,3.603888165,-0.008622095,109.7341793,TSLA,0.905302763,1,0,0.0,17.910793030211227,-1.7400901764078123
1,2024-06-05,175.0,57953800,42,6,2,2,2024,0,0,2.102252771,0.001315991,109.8785884,TSLA,0.0,1,0,0.0,17.875156716625785,-1.8400368476318638
2,2024-06-07,177.4799957,56244900,44,6,4,2,2024,0,0,1.515461121,-0.002585179,111.4357223,TSLA,0.599821627,1,0,0.0,17.845225946051055,-1.923981582233623
3,2024-06-10,173.7899933,50774600,47,6,0,2,2024,0,0,1.618076939,-0.020791089,109.1188523,TSLA,-0.11412812775,4,0,0.0,17.742906807201916,-2.2109489001623963
4,2024-06-11,170.6600037,64761900,48,6,1,2,2024,0,0,2.449381602,-0.018010183,107.1536017,TSLA,-1.0,1,0,0.0,17.98622804088271,-1.528522888666648
5,2024-06-12,177.2899933,90389400,49,6,2,2,2024,0,0,2.488292948,0.038849112,111.316424,TSLA,-0.0467343029999999,2,0,0.0,18.319637572913383,-0.5934325404200987
6,2024-06-13,182.4700012,118984100,50,6,3,2,2024,0,0,3.133702059,0.029217712,114.5688352,TSLA,0.2793479363333333,4,0,0.0,18.59450043710784,0.17745607165471883
7,2024-06-14,178.0099945,82038200,51,6,4,2,2024,0,0,3.12955025,-0.024442411,111.7684967,TSLA,0.157807231,5,0,0.0,18.22269556260038,-0.8653190027872526
8,2024-06-17,187.4400024,109786100,54,6,0,2,2024,0,0,4.693412479,0.052974598,117.6893879,TSLA,0.4537794193333333,6,0,0.0,18.51404449432773,-0.04819307249103216
9,2024-06-18,184.8600006,68982300,55,6,1,2,2024,0,0,5.11090049,-0.013764414,116.0694624,TSLA,0.906927705,0,0,0.0,18.049360522411547,-1.3514596422174219
10,2024-06-21,183.0099945,61937300,58,6,4,2,2024,0,0,5.151956304,0.007930755,114.9078849,TSLA,0.0,1,0,0.0,17.941633157133072,-1.6535950337894456
11,2024-06-25,187.3500061,62905700,62,6,1,2,2024,0,0,5.083657372,0.026125557,117.6328812,TSLA,0.9364625813333332,3,0,0.0,17.95714735349353,-1.6100834545340272
12,2024-06-26,196.3699951,95737100,63,6,2,2,2024,0,0,5.465740885,0.048145123,123.2963307,TSLA,0.23047479975,4,0,0.0,18.377116461545395,-0.43222552974954487
13,2024-06-27,197.4199982,72746500,64,6,3,2,2024,0,0,6.320993885,0.005347065,123.9556042,TSLA,0.464767903,2,0,0.0,18.102491366639285,-1.2024472869648488
14,2024-06-28,197.8800049,95438100,65,6,4,2,2024,0,0,7.158467481,0.002330092,124.2444321,TSLA,0.920008004,1,0,0.0,18.373988438238293,-0.4409984774986587
15,2024-07-01,209.8600006,135691400,68,7,0,3,2024,0,1,9.190385722,0.060541719,131.7664036,TSLA,-0.4176631769999999,4,0,0.0,18.72589375507436,0.5459657021570642
16,2024-07-02,231.2599945,205047900,69,7,1,3,2024,0,0,15.60231909,0.101972714,145.2029815,TSLA,-0.3930339416666666,2,0,0.0,19.138754173222274,1.7038863825641088
17,2024-07-05,251.5200043,154501200,72,7,4,3,2024,0,0,25.72860815,0.02082067,157.9237888,TSLA,0.2659261226666666,2,0,0.0,18.855712427734645,0.9100590353244056
18,2024-07-08,252.9400024,157219600,75,7,0,3,2024,0,0,27.51328023,0.005645667,158.8153739,TSLA,0.390642494,3,0,0.0,18.873154118481608,0.9589765230016514
19,2024-07-09,262.3299866,160210900,76,7,1,3,2024,0,0,28.4974639,0.037123365,164.711135,TSLA,1.0,1,0,0.0,18.892001636475754,1.0118368358349032
20,2024-07-10,263.2600098,128519400,77,7,2,3,2024,0,0,27.9528539,0.003545242,165.2950758,TSLA,0.8834754229999999,1,0,0.0,18.671590431447882,0.39366497610536655
21,2024-07-11,241.0299988,221707300,78,7,3,3,2024,0,0,25.25656811,-0.084441275,151.3373488,TSLA,0.372824967,4,0,0.0,19.216868605934238,1.9229684575210777
22,2024-07-12,248.2299957,155955800,79,7,4,3,2024,0,0,21.61822427,0.029871788,155.8580659,TSLA,0.861775696,2,0,0.0,18.865083198146078,0.9363405783684696
23,2024-07-15,252.6399994,146912900,82,7,0,3,2024,0,0,15.77784706,0.017765797,158.6270087,TSLA,0.417517513,2,0,0.0,18.80535045893539,0.7688123509358361
24,2024-07-16,256.5599976,126332500,83,7,1,3,2024,0,0,9.619614346,0.015516142,161.0882879,TSLA,1.0,0,0,0.0,18.654427885966385,0.3455303875909203
25,2024-07-18,249.2299957,110869000,85,7,3,3,2024,0,0,6.7197607,0.002937609,156.4859436,TSLA,0.791539848,1,0,0.0,18.523859891155038,-0.020664516898986428
26,2024-07-23,246.3800049,111928200,90,7,1,3,2024,0,0,7.016608208,-0.020396762,154.696498,TSLA,-1.0,1,0,0.0,18.533368161190946,0.006002661705499523
27,2024-07-24,215.9900055,167942900,0,7,2,3,2024,0,0,11.39098448,-0.123346046,135.6152967,TSLA,-1.0,1,0,0.0,18.939134604596934,1.1440273683187567
28,2024-07-26,219.8000031,94604100,2,7,4,3,2024,0,0,15.41951224,-0.002043119,138.007509,TSLA,0.0,0,0,0.0,18.365211384033856,-0.4656148663061946
29,2024-07-30,222.6199951,100560300,6,7,1,3,2024,0,0,14.04030044,-0.04084451,139.778119,TSLA,0.728719652,1,0,0.0,18.426268115479655,-0.29437333064069415
30,2024-08-02,207.6699982,82880100,9,8,4,3,2024,0,0,13.90467011,-0.042377582,130.39135,TSLA,0.314823389,2,0,0.0,18.232905555104047,-0.8366837523560455
31,2024-08-05,198.8800049,100308800,12,8,0,3,2024,0,0,13.3460899,-0.042326736,124.8723097,TSLA,0.0,1,0,0.0,18.423763995842364,-0.30139645949193966
32,2024-08-07,191.7599945,71159800,14,8,2,3,2024,0,0,13.94596804,-0.044258398,120.4018144,TSLA,0.52887853,2,0,0.0,18.0804386242431,-1.2642970680477188
33,2024-08-08,198.8399963,65033900,15,8,3,3,2024,0,0,14.55518979,0.036921162,124.8471893,TSLA,0.8619038765,2,0,0.0,17.990419245744132,-1.51676811012277
34,2024-08-09,200.0,58648300,16,8,4,3,2024,0,0,14.74052732,0.005833855,125.5755296,TSLA,-1.0,1,0,0.0,17.887069164187217,-1.8066268408127921
35,2024-08-12,197.4900055,64044900,19,8,0,3,2024,0,0,12.96928203,-0.012549973,123.9995602,TSLA,0.0,1,0,0.0,17.97509497345806,-1.5597470226371555
36,2024-08-16,216.1199951,88765100,23,8,4,3,2024,0,0,7.651302556,0.009246268,135.6969143,TSLA,0.7891836959999999,2,0,0.0,18.301504123958246,-0.6442901538635261
37,2024-08-19,222.7200012,76435200,26,8,0,3,2024,0,0,9.751774609,0.030538619,139.8409106,TSLA,0.894417822,1,0,0.0,18.15195389409917,-1.0637232026655359
