Date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,time_idx,unique_id
2022-08-05,30.1299991607666,39.65999984741211,30.025999069213867,38.2599983215332,12655600,2022-08-04 16:05:00-04:00,0.0,8,4,3,2022,0,0,0.21885947962618646,0.08006255884845946,0,BYND
2022-08-08,38.13999938964844,44.59000015258789,38.02000045776367,39.310001373291016,6186600,2022-08-04 16:05:00-04:00,3.0,8,0,3,2022,0,0,0.027443886508663473,0.07749019511675923,1,BYND
2022-08-09,38.70000076293945,38.79999923706055,35.880001068115234,37.04999923706055,2897500,2022-08-04 16:05:00-04:00,4.0,8,1,3,2022,0,0,-0.057491784718329164,0.07925344511249134,2,BYND
2022-08-10,38.2400016784668,38.54999923706055,36.04999923706055,36.939998626708984,2229100,2022-08-04 16:05:00-04:00,5.0,8,2,3,2022,0,0,-0.002968977398561723,0.07906067390596476,3,BYND
2022-08-11,37.37200164794922,41.9900016784668,36.0099983215332,36.65999984741211,3795200,2022-08-04 16:05:00-04:00,6.0,8,3,3,2022,0,0,-0.00757982646741151,0.0780335147999313,4,BYND
2022-08-12,37.2599983215332,37.380001068115234,35.18000030517578,36.689998626708984,2492000,2022-08-04 16:05:00-04:00,7.0,8,4,3,2022,0,0,0.0008182973110131275,0.07442424910741602,5,BYND
2022-08-15,36.79999923706055,37.28200149536133,35.19599914550781,35.70000076293945,1902600,2022-08-04 16:05:00-04:00,10.0,8,0,3,2022,0,0,-0.026982771894923152,0.06999854945495172,6,BYND
2022-08-16,35.209999084472656,36.86000061035156,33.36000061035156,35.83000183105469,3833900,2022-08-04 16:05:00-04:00,11.0,8,1,3,2022,0,0,0.0036414864240055245,0.06852884393793288,7,BYND
2022-08-17,35.380001068115234,36.18000030517578,34.540000915527344,34.709999084472656,2025800,2022-08-04 16:05:00-04:00,12.0,8,2,3,2022,0,0,-0.031258796800040844,0.06853447521545002,8,BYND
2022-08-18,34.709999084472656,34.7400016784668,32.900001525878906,33.220001220703125,2353100,2022-08-04 16:05:00-04:00,13.0,8,3,3,2022,0,0,-0.0429270499300034,0.06985126176354814,9,BYND
2022-08-19,32.36000061035156,32.48500061035156,28.915000915527344,29.170000076293945,4082200,2022-08-04 16:05:00-04:00,14.0,8,4,3,2022,0,0,-0.12191453930125584,0.0776500049143863,10,BYND
2022-08-22,28.389999389648438,28.54800033569336,26.860000610351562,27.059999465942383,2825500,2022-08-04 16:05:00-04:00,17.0,8,0,3,2022,0,0,-0.07233461106729067,0.07859895022090731,11,BYND
2022-08-23,27.399999618530273,27.530000686645508,26.06999969482422,26.079999923706055,2494800,2022-08-04 16:05:00-04:00,18.0,8,1,3,2022,0,0,-0.036215800501760986,0.0781587281347032,12,BYND
2022-08-24,25.954999923706055,26.989999771118164,25.530000686645508,26.219999313354492,2044200,2022-08-04 16:05:00-04:00,19.0,8,2,3,2022,0,0,0.005368074772162057,0.07623352415091988,13,BYND
2022-08-25,26.899999618530273,27.829999923706055,26.18000030517578,26.780000686645508,3026500,2022-08-04 16:05:00-04:00,20.0,8,3,3,2022,0,0,0.021357795116561773,0.040449999645635205,14,BYND
2022-08-26,27.165000915527344,27.229999542236328,24.610000610351562,24.790000915527344,3439500,2022-08-04 16:05:00-04:00,21.0,8,4,3,2022,0,0,-0.0743091755076215,0.03955744946187395,15,BYND
2022-08-29,24.40999984741211,25.190000534057617,23.90999984741211,24.520000457763672,2318900,2022-08-04 16:05:00-04:00,24.0,8,0,3,2022,0,0,-0.010891506566849563,0.03917248331251752,16,BYND
2022-08-30,24.81999969482422,25.32900047302246,23.899999618530273,24.520000457763672,2062100,2022-08-04 16:05:00-04:00,25.0,8,1,3,2022,0,0,0.0,0.03932789516633857,17,BYND
2022-08-31,24.850000381469727,25.875,24.059999465942383,24.399999618530273,2406000,2022-08-04 16:05:00-04:00,26.0,8,2,3,2022,1,0,-0.004893998246048303,0.03944201517926562,18,BYND
2022-09-01,24.280000686645508,24.649999618530273,23.06999969482422,24.56999969482422,2375000,2022-08-04 16:05:00-04:00,27.0,9,3,3,2022,0,1,0.006967216350480587,0.03981879570852048,19,BYND
2022-09-02,24.700000762939453,24.799999237060547,23.270000457763672,23.420000076293945,2043100,2022-08-04 16:05:00-04:00,28.0,9,4,3,2022,0,0,-0.04680503186056306,0.04015167610369809,20,BYND
2022-09-06,23.5,23.55500030517578,21.350000381469727,21.719999313354492,3842800,2022-08-04 16:05:00-04:00,32.0,9,1,3,2022,0,0,-0.07258756436385405,0.04056980455584461,21,BYND
2022-09-07,21.770000457763672,22.31999969482422,21.059999465942383,21.959999084472656,2858200,2022-08-04 16:05:00-04:00,33.0,9,2,3,2022,0,0,0.011049713568388686,0.04235181224894182,22,BYND
2022-09-08,21.889999389648438,21.969999313354492,21.079999923706055,21.690000534057617,2854500,2022-08-04 16:05:00-04:00,34.0,9,3,3,2022,0,0,-0.012295016469556552,0.042495690443856336,23,BYND
2022-09-09,22.100000381469727,22.8799991607666,21.860000610351562,22.549999237060547,3189300,2022-08-04 16:05:00-04:00,35.0,9,4,3,2022,0,0,0.03964954734106896,0.036926500433217754,24,BYND
